sample_fp	plate	well	tile	round
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-018__Channel_AF750,Cy3,DAPI.nd2	1	A3	18	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-018__Channel_Cy5,Cy3,DAPI.nd2	1	A3	18	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-019__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	19	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-019__Channel_AF750,Cy3,DAPI.nd2	1	A3	19	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-019__Channel_Cy5,Cy3,DAPI.nd2	1	A3	19	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-020__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	20	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-020__Channel_AF750,Cy3,DAPI.nd2	1	A3	20	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-020__Channel_Cy5,Cy3,DAPI.nd2	1	A3	20	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-021__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	21	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-021__Channel_AF750,Cy3,DAPI.nd2	1	A3	21	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-021__Channel_Cy5,Cy3,DAPI.nd2	1	A3	21	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-022__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	22	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-022__Channel_AF750,Cy3,DAPI.nd2	1	A3	22	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-022__Channel_Cy5,Cy3,DAPI.nd2	1	A3	22	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-023__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	23	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-023__Channel_AF750,Cy3,DAPI.nd2	1	A3	23	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-023__Channel_Cy5,Cy3,DAPI.nd2	1	A3	23	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-024__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	24	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-024__Channel_AF750,Cy3,DAPI.nd2	1	A3	24	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-024__Channel_Cy5,Cy3,DAPI.nd2	1	A3	24	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-025__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	25	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-025__Channel_AF750,Cy3,DAPI.nd2	1	A3	25	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-025__Channel_Cy5,Cy3,DAPI.nd2	1	A3	25	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-026__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	26	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-026__Channel_AF750,Cy3,DAPI.nd2	1	A3	26	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-026__Channel_Cy5,Cy3,DAPI.nd2	1	A3	26	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-027__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	27	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-027__Channel_AF750,Cy3,DAPI.nd2	1	A3	27	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-027__Channel_Cy5,Cy3,DAPI.nd2	1	A3	27	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-028__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	28	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-028__Channel_AF750,Cy3,DAPI.nd2	1	A3	28	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-028__Channel_Cy5,Cy3,DAPI.nd2	1	A3	28	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-029__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	29	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-029__Channel_AF750,Cy3,DAPI.nd2	1	A3	29	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-029__Channel_Cy5,Cy3,DAPI.nd2	1	A3	29	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-030__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	30	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-030__Channel_AF750,Cy3,DAPI.nd2	1	A3	30	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-030__Channel_Cy5,Cy3,DAPI.nd2	1	A3	30	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-031__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	31	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-031__Channel_AF750,Cy3,DAPI.nd2	1	A3	31	2
